,name,team,complete,att_yards,firstdown,inside_20,goaltogo,incompletion_type,blitz_x,hurry,knockdown,pocket_time,on_target_throw,batted_pass,yards,interception,touchdown,sequence,direction,start_location,end_location,hash_mark,play_action,run_pass_option,blitz_y,qb_at_snap,players_rushed,pocket_location,pass_route,season
0,Patrick Mahomes II,KC,0.0,-7,0,0,0,Pass Defended,0,0,0,2.187,0,1,,,,1,short left,"{'alias': 'KC', 'yardline': 33}","{'alias': 'KC', 'yardline': 26}",Right Hash,False,False,False,Shotgun,4.0,Middle,Flat,2019
1,Patrick Mahomes II,KC,0.0,-2,0,0,0,Poorly Thrown,1,0,0,1.793,0,0,,,,1,short right,"{'alias': 'KC', 'yardline': 33}","{'alias': 'KC', 'yardline': 31}",Right Hash,False,False,True,Shotgun,5.0,Middle,Flat,2019
2,Jimmy Garoppolo,SF,1.0,0,1,0,0,,1,0,0,2.138,1,0,11.0,,,1,short left,"{'alias': 'SF', 'yardline': 17}","{'alias': 'SF', 'yardline': 17}",Right Hash,True,False,True,Under Center,5.0,Middle,Flat,2019
3,Jimmy Garoppolo,SF,1.0,-1,0,0,0,,1,0,0,1.978,1,0,2.0,,,1,short middle,"{'alias': 'KC', 'yardline': 25}","{'alias': 'KC', 'yardline': 26}",Left Hash,False,False,True,Under Center,5.0,Middle,Underneath Screen,2019
4,Jimmy Garoppolo,SF,1.0,-2,0,0,0,,0,0,0,1.581,1,0,-2.0,,,1,short right,"{'alias': 'KC', 'yardline': 23}","{'alias': 'KC', 'yardline': 25}",Left Hash,True,True,False,Shotgun,4.0,Middle,WR Screen,2019
5,Jimmy Garoppolo,SF,0.0,6,0,0,0,,0,0,0,,0,0,,,,1,short left,"{'alias': 'KC', 'yardline': 20}","{'alias': 'KC', 'yardline': 14}",Right Hash,False,False,False,Shotgun,4.0,Middle,Comeback,2019
6,Patrick Mahomes II,KC,1.0,8,0,0,0,,0,0,0,1.75,1,0,9.0,,,1,short right,"{'alias': 'KC', 'yardline': 25}","{'alias': 'KC', 'yardline': 33}",Left Hash,True,True,False,Shotgun,4.0,Boot Right,Comeback,2019
7,Patrick Mahomes II,KC,1.0,4,0,0,0,,0,0,0,1.619,1,0,8.0,,,1,short right,"{'alias': 'KC', 'yardline': 36}","{'alias': 'KC', 'yardline': 40}",Left Hash,True,True,False,Shotgun,4.0,Middle,Curl,2019
8,Patrick Mahomes II,KC,0.0,1,0,0,0,Poorly Thrown,0,1,0,3.171,0,0,,,,1,short right,"{'alias': 'KC', 'yardline': 44}","{'alias': 'KC', 'yardline': 45}",Right Hash,True,True,False,Shotgun,4.0,Middle,Flat,2019
9,Patrick Mahomes II,KC,1.0,8,0,0,0,,0,0,0,1.186,1,0,9.0,,,1,short middle,"{'alias': 'KC', 'yardline': 49}","{'alias': 'SF', 'yardline': 43}",Right Hash,True,True,False,Shotgun,4.0,Middle,Cross,2019
10,Patrick Mahomes II,KC,1.0,-3,0,0,0,,0,0,0,0.63,1,0,3.0,,,1,short middle,"{'alias': 'SF', 'yardline': 28}","{'alias': 'SF', 'yardline': 31}",Right Hash,False,False,False,Shotgun,4.0,Middle,Cross,2019
11,Patrick Mahomes II,KC,1.0,8,1,0,0,,1,0,0,2.255,1,0,11.0,,,1,short middle,"{'alias': 'SF', 'yardline': 25}","{'alias': 'SF', 'yardline': 17}",Left Hash,False,False,True,Shotgun,5.0,Middle,Cross,2019
12,Patrick Mahomes II,KC,0.0,-5,0,1,0,Poorly Thrown,0,0,0,2.173,0,0,,,,1,short right,"{'alias': 'SF', 'yardline': 15}","{'alias': 'SF', 'yardline': 20}",Right Hash,True,True,False,Shotgun,4.0,Middle,Flat,2019
13,Jimmy Garoppolo,SF,1.0,18,1,0,0,,0,0,0,3.101,1,0,18.0,,,1,deep right,"{'alias': 'SF', 'yardline': 25}","{'alias': 'SF', 'yardline': 43}",Left Hash,True,False,False,Under Center,3.0,Middle,Comeback,2019
14,Jimmy Garoppolo,SF,1.0,-6,0,0,0,,0,0,0,2.243,1,0,-2.0,,,1,short right,"{'alias': 'SF', 'yardline': 43}","{'alias': 'SF', 'yardline': 37}",Right Hash,True,False,False,Under Center,4.0,Middle,Flat,2019
15,Jimmy Garoppolo,SF,,16,0,0,0,Poorly Thrown,0,1,1,2.051,0,0,,1.0,,1,deep right,"{'alias': 'SF', 'yardline': 41}","{'alias': 'KC', 'yardline': 43}",Right Hash,False,False,False,Shotgun,4.0,Middle,Comeback,2019
16,Patrick Mahomes II,KC,1.0,27,1,0,0,,0,0,1,3.605,1,0,28.0,,,1,deep left,"{'alias': 'KC', 'yardline': 44}","{'alias': 'SF', 'yardline': 29}",Left Hash,False,False,False,Under Center,4.0,Middle,Go,2019
17,Patrick Mahomes II,KC,1.0,-2,0,0,0,,0,0,0,1.05,1,0,2.0,,,1,short left,"{'alias': 'SF', 'yardline': 28}","{'alias': 'SF', 'yardline': 30}",Left Hash,False,False,False,Shotgun,4.0,Middle,Flat,2019
18,Patrick Mahomes II,KC,1.0,4,0,0,0,,0,0,0,2.178,1,0,4.0,,,1,short middle,"{'alias': 'SF', 'yardline': 23}","{'alias': 'SF', 'yardline': 19}",Left Hash,False,False,False,Shotgun,4.0,Middle,Cross,2019
19,Patrick Mahomes II,KC,0.0,16,0,1,0,Poorly Thrown,0,0,0,2.355,0,0,,,,1,deep right,"{'alias': 'SF', 'yardline': 16}","{'alias': 'SF', 'yardline': -4}",Right Hash,False,False,False,Shotgun,4.0,Middle,Go,2019
20,Patrick Mahomes II,KC,0.0,3,0,1,0,Pass Defended,1,0,0,1.995,1,0,,,,1,short middle,"{'alias': 'SF', 'yardline': 13}","{'alias': 'SF', 'yardline': 10}",Right Hash,False,False,True,Shotgun,5.0,Middle,Cross,2019
21,Jimmy Garoppolo,SF,1.0,-4,1,0,0,,1,0,0,0.77,1,0,16.0,,,1,short middle,"{'alias': 'SF', 'yardline': 30}","{'alias': 'SF', 'yardline': 26}",Left Hash,False,False,True,Shotgun,5.0,Middle,Cross,2019
22,Jimmy Garoppolo,SF,1.0,6,1,0,0,,0,0,0,2.087,1,0,11.0,,,1,short middle,"{'alias': 'KC', 'yardline': 26}","{'alias': 'KC', 'yardline': 20}",Left Hash,True,True,False,Shotgun,3.0,Middle,Slant,2019
23,Jimmy Garoppolo,SF,1.0,4,1,1,0,,1,0,0,2.813,1,0,15.0,,1.0,1,short right,"{'alias': 'KC', 'yardline': 15}","{'alias': 'KC', 'yardline': 11}",Left Hash,True,False,True,Under Center,6.0,Boot Right,Out,2019
24,Patrick Mahomes II,KC,1.0,0,1,0,0,,0,0,0,3.421,1,0,10.0,,,1,short right,"{'alias': 'KC', 'yardline': 19}","{'alias': 'KC', 'yardline': 19}",Left Hash,True,True,False,Shotgun,4.0,Rollout Right,Flat,2019
25,Patrick Mahomes II,KC,1.0,7,0,0,0,,0,0,0,1.917,1,0,9.0,,,1,short left,"{'alias': 'KC', 'yardline': 29}","{'alias': 'KC', 'yardline': 36}",Right Hash,True,True,False,Shotgun,3.0,Middle,Out,2019
26,Patrick Mahomes II,KC,1.0,9,1,0,0,,1,0,0,2.809,1,0,10.0,,,1,short middle,"{'alias': 'KC', 'yardline': 42}","{'alias': 'SF', 'yardline': 49}",Left Hash,True,False,True,Under Center,5.0,Middle,Curl,2019
